"id_final","name_final","elevation","z_max","z_mean","area_Ha","DV","form_DV","V","source","lon","lat"
"LID 14422","Maratoto",52,7.22,3.50780894286553,16.1972,1.45753834191089,"Convex",568166.830093816,"LERNZmp",175.304328223643,-37.8856607404855
"LID 14424","Rotopiko E (Lake Serpentine E)",52,3.25,2.21692300913861,1.194,2.0463904699741,"Concave",26470.060729115,"LERNZmp",175.320095541549,-37.9506697187314
"LID 14427","Rotomanuka S",50,5.03,2.72568029790537,6.914,1.62565425322388,"Concave",188453.535797178,"LERNZmp",175.319827722745,-37.9283728677235
"LID 14428","Rotomanuka",49,8.23,3.69497153350319,18.0244,1.34689120297808,"Convex",665996.449084749,"LERNZmp",175.315678361099,-37.9256234612755
"LID 14631","Korekai",312.29705810547,5.237,3.47281597743464,2.2884,1.98939238730264,"Concave",79471.9208276143,"LERNZmp",175.95097176036,-38.1276177272351
"LID 14680",NA,95.1609191894531,30.5,NA,770.268746693851,NA,NA,NA,"LERNZmp",175.658834497831,-37.9924243861819
"LID 14720","Te Koo Utu",41.476463317871,3.656,2.69036879602106,4.7196,2.20763303831049,"Concave",126974.64569701,"LERNZmp",175.46996933949,-37.8888205163371
"LID 15020","Waiwhakareke (Horseshoe Lake)",33.466289520264,4.076,2.56436438955476,3.3328,1.88741245551135,"Concave",85465.1363750809,"LERNZmp",175.22552059539,-37.7707172706167
"LID 15022","Rotoroa (Hamilton Lake)",37.99751663208,5.798,2.41284425506695,53.6716,1.24845339172143,"Convex",1295012.11720251,"LERNZmp",175.274424225863,-37.7983724504363
"LID 15032","Pikopiko",19.789812088013,2.95,2.0060416301114,5.1744,2.04004233570651,"Concave",103800.618108484,"LERNZmp",175.192193330783,-37.6618838442685
"LID 15034","Areare",21,4.58,2.48388697533751,32.8548,1.62700020218614,"Concave",816076.097973189,"LERNZmp",175.201284436536,-37.6687005223878
"LID 15035","Whakatangi (Lake A)",26.648847579956,3.679,2.46950313584709,2.7084,2.01372911322133,"Concave",66884.0229312826,"LERNZmp",175.258262654179,-37.6892026844811
"LID 15037","Kainui (Lake D)",24.502042770386,6.152,3.57400720547189,28.9976,1.74285136807797,"Concave",1036376.31341392,"LERNZmp",175.232982611826,-37.6773204253576
"LID 15038","Kaituna (Lake B)",21.385467529297,1.155,0.772609519497313,12.4072,2.00677797272029,"Concave",95859.2083030706,"LERNZmp",175.247153948212,-37.6796403488787
"LID 15312","Tikitapu  (Blue Lake)",417.990234375,31.62,21.3911556227455,145.0664,2.02952140633259,"Concave",31031379.3803144,"LERNZmp",176.331782457988,-38.1948584702543
"LID 15325","Okareka",355.30038452148,38.72,22.0582464653559,335.968,1.70905835217117,"Concave",74108649.4847269,"LERNZmp",176.360947868361,-38.1711769197764
"LID 15621","Rotokakahi (Green Lake)",396.85061645508,34.221,21.3097292460139,435.7808,1.86812739949276,"Concave",92863708.5861132,"LERNZmp",176.313047282013,-38.2179396525435
"LID 16939","Waipu",18.520999908447,3.841,1.72803013726561,6.2084,1.34967206763781,"Convex",107283.023041998,"LERNZmp",175.15620226016,-40.0435626085456
"LID 17286","Poroa",351.99655151367,2.017,1.11423622260345,8.0024,1.65726755964817,"Concave",89165.6394776188,"LERNZmp",175.8677093548,-39.7514093550479
"LID 17761","Wainui",33.494998931885,10.465,4.65854460566814,4.8296,1.335464292117,"Convex",224989.070275349,"LERNZmp",173.88158122967,-36.1012271040505
"LID 18717","Ngakapua S",39.694999694824,5.455,2.17613146168632,9.9296,1.19677257287974,"Convex",216081.149619605,"LERNZmp",173.194545760866,-35.0191979615367
"LID 18718","Ngakapua N",39.694999694824,8.345,3.09467912269414,4.3024,1.11252694644487,"Convex",133145.474574793,"LERNZmp",173.19114933113,-35.0193181726272
"LID 18719","Rotokawau [Aupouri]",40.895000457764,3.335,1.3816255714897,16.0128,1.24284159354396,"Convex",221236.939511503,"LERNZmp",173.205945381526,-35.0189021437004
"LID 18933","Pauri",45.880001068115,12.45,5.47801714359041,18.5832,1.32000413098564,"Convex",1017990.88182769,"LERNZmp",175.099940604844,-39.9782343723143
"LID 18934","Wiritoa",45.388000488281,16.788,4.90046333904012,21.2132,0.875708245003595,"Convex",1039545.08903726,"LERNZmp",175.089091639201,-39.9748849245578
"LID 19575","Waipara",75.794998168945,4.415,3.20222973967402,2.3676,2.17592054790987,"Concave",75815.9913165222,"LERNZmp",172.854348042187,-34.5860839087088
"LID 19624","Namunamu",192,18,6.54620837906701,12.3632,1.0910347298445,"Convex",809320.834320813,"LERNZmp",175.464505165739,-39.8856063467416
"LID 21367","Rotoaira",670.00274658203,14.863,8.29720314781845,1570.542,1.6747365567823,"Concave",130311060.261811,"LERNZmp",175.710347652586,-39.0495987427252
"LID 21370","Rotopounamu",712.99169921875,7.792,4.66451988345434,83.9288,1.7958880454778,"Concave",3914875.56394462,"LERNZmp",175.738356884184,-39.0266249994403
"LID 21383","Otamangakau",611,8.3,1.82218121265766,159.0172,0.658619715418432,"Convex",2897581.54329426,"LERNZmp",175.624388791171,-39.0022761620894
"LID 21871","Tomarata Lake",0.1,5.23,4.11821549765629,14.2952,2.36226510381814,"Concave",588707.141820962,"LERNZmp",174.649865137943,-36.1936455715312
"LID 21917","Taharoa",69.455001831055,38.735,17.1130044470765,197.6524,1.32539081815489,"Convex",33824264.0017535,"LERNZmp",173.647183331255,-35.8062287423048
"LID 21918","Kaiiwi",69.604843139648,15.635,8.78442332503943,27.578,1.6855305388627,"Concave",2422568.26457937,"LERNZmp",173.653309369534,-35.8147231950446
"LID 21926","Waikere",77.451637268066,29.462,11.9458083303942,29.1324,1.21639484730102,"Convex",3480100.66604375,"LERNZmp",173.630428400535,-35.7986549746944
"LID 22999","Spectacle Lake",0.1,5.46,3.04843185913026,39.912,1.67496255996168,"Concave",1216690.12361607,"LERNZmp",174.629349138341,-36.1820326305738
"LID 23000","Slipper Lake",0.1,5.36,3.37411954586938,8.5936,1.88849974582241,"Concave",289958.337293831,"LERNZmp",174.63037181123,-36.1721015219664
"LID 23681","Rotoroa",92.144996643066,4.075,1.99329540830541,6.9204,1.46745674231073,"Convex",137944.015436368,"LERNZmp",174.039959375835,-36.251720592473
"LID 23682","Lake Heather",29.385000228882,6.685,2.4846867217299,12.5108,1.11504265747041,"Convex",310854.186382184,"LERNZmp",173.193297762749,-35.0513073408402
"LID 23690","Lake Carrot",40.205001831055,7.935,2.74895479296013,3.4136,1.03930237919098,"Convex",93838.3208124871,"LERNZmp",173.187387519668,-35.0223452615961
"LID 23691","Ngatu",33.275001525879,6.265,2.21282755858115,55.8056,1.05961415414899,"Convex",1234881.69603156,"LERNZmp",173.198395456918,-35.0320179633439
"LID 23721","Omapere",234.28500366211,1.985,1.6399377215345,1207.6236,2.47849529702947,"Concave",19804274.9505529,"LERNZmp",173.795301714805,-35.3479999481308
